0,0,3,0,46561.18
1,1,2,4,821
2,1,2,7,25
3,1,2,10,650
4,1,2,1,530
5,1,2,4,3000
6,1,2,4,80
7,1,1,0,11506
8,1,1,3,5896
9,1,1,1,1750
10,1,2,6,1691
11,1,2,11,300
12,1,2,11,1000
13,1,2,2,368
14,1,1,4,1350
15,1,2,2,219
16,1,2,4,991
17,1,2,4,100
18,1,2,1,38
19,1,2,12,225.7
20,1,2,3,126
21,1,2,0,6877
22,2,2,7,25
23,2,2,4,3500
24,2,2,4,100
25,2,1,0,11506
26,2,1,3,5896
27,2,1,1,1750
28,2,2,6,1691
29,2,2,10,650
30,2,2,8,10626
31,2,2,2,368
32,2,1,4,1000
33,2,2,10,650
34,2,2,4,400
35,2,2,3,126
36,2,2,2,219
37,2,2,12,227.06
38,2,2,13,18556
39,3,2,7,25
40,3,2,4,3500
41,3,2,9,3035
42,3,2,4,200
43,3,1,6,237
44,3,2,1,1500
45,3,2,4,6500
46,3,2,4,200
47,3,2,4,100
48,3,1,0,11506
49,3,1,3,5896
50,3,1,1,1750
51,3,2,6,1691
52,3,2,11,600
53,3,2,1,54
54,3,2,2,368
55,3,1,4,1050
56,3,2,10,650
57,3,2,4,235
58,3,2,12,212.07
59,3,2,2,219
60,3,2,4,400
61,3,2,3,126
62,4,2,11,200
63,4,2,7,25
64,4,2,4,985
65,4,2,4,3500
66,4,1,6,3132
67,4,2,4,100
68,4,2,4,500
69,4,1,0,11506
70,4,1,3,5896
71,4,1,1,1750
72,4,2,6,1691
73,4,2,4,100
74,4,1,4,1230
75,4,2,4,400
76,4,2,4,150
77,4,2,3,125
78,4,2,2,219
79,4,2,12,237.61
80,5,2,11,200
81,4,2,7,25
82,4,2,10,650
83,4,2,4,3000
84,5,1,7,125
85,5,2,4,150
86,5,1,0,11506
87,5,1,3,5896
88,5,1,1,1750
89,5,2,6,1691
90,5,1,4,1320
91,5,2,4,150
92,5,2,2,219
93,5,2,12,227.79
94,5,2,10,650
95,5,1,7,74
96,5,2,4,400
97,5,2,3,126
98,5,2,0,7152
99,6,2,11,200
100,6,2,4,3500
101,6,2,7,25
102,6,2,4,10000
103,6,2,4,7000
104,6,2,4,464
105,6,2,1,1850
106,6,2,2,736
107,6,2,4,500
108,6,1,0,11506
109,6,1,3,5896
110,6,1,1,1750
111,6,2,6,1691
112,6,2,1,106
113,6,2,2,368
114,6,2,10,650
115,6,1,4,5910
116,6,2,2,219
117,6,2,12,234.97
118,6,2,4,400
119,6,2,3,125
120,7,2,11,200
121,7,2,7,25
122,7,2,4,3500
123,7,2,0,7152
124,7,2,4,400
125,7,2,4,4698
126,7,2,4,4500
127,7,2,4,1000
128,7,1,0,11506
129,7,1,3,5896
130,7,1,1,1750
131,7,2,6,1691
132,7,1,4,1240
133,7,2,4,300
134,7,2,2,229
135,7,2,2,219
136,7,2,2,362
137,7,2,4,400
138,7,2,3,126
139,7,2,12,226.46
140,7,2,10,650
141,7,2,0,7152
142,8,2,7,25
143,8,2,4,3000
144,8,2,4,300
145,8,2,4,300
146,8,1,0,11506
147,8,1,3,5896
148,8,1,1,1750
149,8,2,6,1691
150,8,2,4,300
151,8,2,4,393
152,8,2,1,94
153,8,2,12,181.78
154,8,2,10,650
155,8,2,2,298
156,8,2,2,219
157,8,2,4,400
158,8,2,3,125
159,8,2,0,7152
160,9,2,7,25
161,9,2,4,5000
162,9,2,4,500
163,9,2,4,1600
164,9,2,0,7152
165,9,2,0,7152
166,9,2,0,7152
167,9,2,4,1000
168,9,1,0,11506
169,9,1,3,5896
170,9,1,1,1750
171,9,2,6,1691
172,9,2,4,5134
173,9,2,4,500
174,9,2,10,650
175,9,2,2,298
176,9,1,4,1380
177,9,2,12,181.78
178,9,2,2,219
179,9,2,3,126
180,9,2,0,7152
181,10,2,7,25
182,10,2,4,3500
183,10,2,1,1000
184,10,2,4,500
185,10,2,4,1000
186,10,2,4,300
187,10,1,0,11506
188,10,1,3,5896
189,10,1,1,1750
190,10,2,6,1691
191,10,2,2,298
192,10,1,4,1180
193,10,2,4,200
194,10,2,2,219
195,10,2,12,175.01
196,10,2,10,430
197,10,2,3,125
198,10,2,0,7152
199,10,2,11,1000
200,11,2,7,25
201,11,2,4,3000
202,11,2,4,200
203,11,2,4,150
204,11,2,4,150
205,11,1,0,11506
206,11,1,3,5896
207,11,1,1,1750
208,11,2,6,1691
209,11,2,4,1000
210,11,2,1,173
211,11,2,2,298
212,11,2,4,150
213,11,1,4,1240
214,11,2,10,650
215,11,2,12,190.3
216,11,2,2,219
217,11,2,3,130
218,11,2,0,7152
219,12,2,4,150
220,12,2,7,25
221,12,2,4,3000
222,12,2,4,150
223,12,1,7,117
224,12,2,4,1000
225,12,2,4,150
226,12,2,4,150
227,12,1,0,11725
228,12,1,3,5896
229,12,1,1,1750
230,12,2,6,1734
231,12,2,4,9000
232,12,1,4,4980
233,12,2,4,367
234,12,2,4,2000
235,12,2,2,298
236,12,2,12,188.43
237,12,2,2,219
238,12,2,3,130
239,12,2,0,7152
